date,close
2007-01-05,43.85
2007-01-12,45.31
2007-01-19,44.17
2007-01-26,43.57
2007-02-02,44.16
2007-02-09,43.84
2007-02-16,44.71
2007-02-23,45.26
2007-03-02,42.48
2007-03-09,42.93
2007-03-16,42.83
2007-03-23,44.12
2007-03-30,43.53
2007-04-05,44.56
2007-04-13,44.65
2007-04-20,45.40
2007-04-27,46.57
2007-05-04,46.63
2007-05-11,46.78
2007-05-18,46.71
2007-05-25,46.45
2007-06-01,47.44
2007-06-08,46.91
2007-06-15,47.73
2007-06-22,47.29
2007-06-29,47.60
2007-07-06,48.86
2007-07-13,49.90
2007-07-20,50.05
2007-07-27,47.99
2007-08-03,47.42
2007-08-10,47.28
2007-08-17,46.31
2007-08-24,48.20
2007-08-31,48.87
2007-09-07,48.23
2007-09-14,49.22
2007-09-21,50.36
2007-09-28,51.41
2007-10-05,52.818
2007-10-12,53.53
2007-10-19,52.44
2007-10-26,53.93
2007-11-02,54.42
2007-11-09,50.00
2007-11-16,50.28
2007-11-23,49.84
2007-11-30,51.31
2007-12-07,52.33
2007-12-14,50.97
2007-12-21,51.85
2007-12-28,51.86
2008-01-04,48.40
2008-01-11,47.05
2008-01-18,45.35
2008-01-25,43.99
2008-02-01,45.5899
2008-02-08,43.60
2008-02-15,43.82
2008-02-22,43.68
2008-02-29,42.95
2008-03-07,42.07
2008-03-14,42.25
2008-03-20,43.09
2008-03-28,43.49
2008-04-04,45.86
2008-04-11,44.28
2008-04-18,46.71
2008-04-25,47.15
2008-05-02,48.77
2008-05-09,48.21
2008-05-16,50.0099
2008-05-23,48.20
2008-05-30,50.01
2008-06-06,49.03
2008-06-13,48.37
2008-06-20,47.42
2008-06-27,45.65
2008-07-03,44.63
2008-07-11,44.56
2008-07-18,44.59
2008-07-25,45.27
2008-08-01,44.88
2008-08-08,47.32
2008-08-15,48.16
2008-08-22,47.49
2008-08-29,46.12
2008-09-05,43.45
2008-09-12,43.43
2008-09-19,42.90
2008-09-26,41.08
2008-10-03,36.18
2008-10-10,31.32
2008-10-17,32.30
2008-10-24,29.51
2008-10-31,32.89
2008-11-07,31.19
2008-11-14,28.98
2008-11-21,26.67
2008-11-28,29.12
2008-12-05,28.94
2008-12-12,29.68
2008-12-19,29.86
2008-12-26,29.13
2009-01-02,31.03
2009-01-09,30.07
2009-01-16,29.42
2009-01-23,28.90
2009-01-30,29.06
2009-02-06,31.37
2009-02-13,30.43
2009-02-20,28.87
2009-02-27,27.53
2009-03-06,26.30
2009-03-13,28.74
2009-03-20,29.18
2009-03-27,30.82
2009-04-03,32.35
2009-04-09,32.94
2009-04-17,33.31
2009-04-24,33.69
2009-05-01,34.37
2009-05-08,34.23
2009-05-15,33.37
2009-05-22,33.54
2009-05-29,35.38
2009-06-05,36.78
2009-06-12,36.65
2009-06-19,36.16
2009-06-26,36.37
2009-07-02,35.60
2009-07-10,34.92
2009-07-17,37.56
2009-07-24,39.05
2009-07-31,39.45
2009-08-07,39.88
2009-08-14,39.63
2009-08-21,40.29
2009-08-28,40.44
2009-09-04,40.36
2009-09-11,41.52
2009-09-18,42.44
2009-09-25,41.70
2009-10-02,40.88
2009-10-09,42.48
2009-10-16,42.78
2009-10-23,43.13
2009-10-30,40.96
2009-11-06,42.60
2009-11-13,44.01
2009-11-20,43.44
2009-11-27,43.51
2009-12-04,44.12
2009-12-11,44.13
2009-12-18,44.46
2009-12-24,45.98
2009-12-31,45.75
2010-01-08,46.55
2010-01-15,45.85
2010-01-22,44.16
2010-01-29,42.79
2010-02-05,42.98
2010-02-12,43.76
2010-02-19,44.83
2010-02-26,44.76
2010-03-05,46.44
2010-03-12,47.36
2010-03-19,47.49
2010-03-26,48.00
2010-04-01,48.16
2010-04-09,49.03
2010-04-16,49.53
2010-04-23,50.52
2010-04-30,49.2375
2010-05-07,45.41
2010-05-14,46.93
2010-05-21,44.84
2010-05-28,45.60
2010-06-04,45.0925
2010-06-11,45.50
